window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,mu2,sigma2,lr_stat,lr_p
15,tvtp_exflow,2017-10-28,2021-10-27,2022-01-25,2784.7351803220236,-5533.470360644047,-5438.318909779404,18,True,0.0015720554594844474,0.009973749972536831,0.002808449096909438,0.03873587740139605,-0.0004111124095901201,0.06463091789171121,5.258996857222883,0.5110496147605554
15,tvtp_both,2017-10-28,2021-10-27,2022-01-25,2822.0321959810008,-5596.0643919620015,-5469.1957908091445,24,True,0.00183894705131569,0.011128456987083294,0.0026320069356482816,0.03683452205519703,-0.0014523159536570724,0.07423612216571614,79.85302817517731,4.402465182554523e-12
16,baseline,2018-01-27,2022-01-26,2022-04-26,2849.0946210731818,-5674.1892421463635,-5610.754941569935,12,True,0.0014169479193685507,0.010073925403236594,0.0012773645821372095,0.03943423393165964,-0.0024951809899683712,0.07398762028026479,,
16,tvtp_logrv,2018-01-27,2022-01-26,2022-04-26,2884.401034909697,-5732.802069819394,-5637.650618954751,18,True,0.0013668014829364738,0.00944724234186726,0.0018288504392370163,0.03236358975382662,-0.0025503900516885745,0.07160992676296851,70.61282767303055,3.061155229520763e-13
16,tvtp_exflow,2018-01-27,2022-01-26,2022-04-26,2852.4474225398117,-5668.894845079623,-5573.74339421498,18,True,0.0015517492866808163,0.009979016945455879,0.0014101665899855544,0.03981992649158015,-0.004136400023395691,0.07709328007954652,6.705602933259797,0.34893281705482004
16,tvtp_both,2018-01-27,2022-01-26,2022-04-26,2888.2412998845157,-5728.482599769031,-5601.613998616174,24,True,0.0015077982810906305,0.011387697399381187,0.0017060787469968045,0.03691977905555537,-0.0036003332306131708,0.07472948779979878,78.29335762266783,8.723836951233824e-12
17,baseline,2018-04-28,2022-04-27,2022-07-26,2900.0707584583433,-5776.141516916687,-5712.707216340258,12,True,0.0009913444130580445,0.010725018094716297,0.0016279688533554447,0.02510885925398909,-0.0007041206752378239,0.06769537383745215,,
17,tvtp_logrv,2018-04-28,2022-04-27,2022-07-26,2943.8645384101865,-5851.729076820373,-5756.57762595573,18,True,0.0014395852222884422,0.009269743069503749,0.0013148180141569913,0.03127781837581326,-0.0006978680363886653,0.07173213632732112,87.58755990368627,9.598974671725798e-17
17,tvtp_exflow,2018-04-28,2022-04-27,2022-07-26,2907.925394395291,-5779.850788790582,-5684.699337925938,18,True,0.001347109360473262,0.015736447467126363,0.003034156849741735,0.03959585710166998,-0.013512901770734885,0.0809846800099518,15.709271873894977,0.015402474528114808
17,tvtp_both,2018-04-28,2022-04-27,2022-07-26,2949.659045601155,-5851.31809120231,-5724.449490049453,24,False,0.0012725129836901672,0.008797548040032063,0.0016699728747757098,0.029271554122741954,-0.0011156514603127268,0.06876676476935017,99.17657428562325,8.070728032525119e-16
18,baseline,2018-07-28,2022-07-27,2022-10-25,2889.6514119593853,-5755.302823918771,-5691.868523342342,12,True,0.0011964871781792391,0.00912620810847991,0.0014178016747339306,0.03669613868741819,-0.004889062485258885,0.07819483983295088,,
18,tvtp_logrv,2018-07-28,2022-07-27,2022-10-25,2924.4158463605263,-5812.831692721053,-5717.680241856409,18,True,0.0013171192206049148,0.008796692471940863,0.0010077264933734738,0.030417635389202956,-0.001221841793585579,0.0709362868864963,69.52886880228198,5.107520283001617e-13
18,tvtp_exflow,2018-07-28,2022-07-27,2022-10-25,2893.7793899205017,-5751.558779841003,-5656.40732897636,18,True,0.0012772270333240411,0.009021762990381111,0.0018566386491989514,0.036421175069660014,-0.007007111794193265,0.07694798826770476,8.255955922232715,0.21994468785095087
18,tvtp_both,2018-07-28,2022-07-27,2022-10-25,2929.0910817971426,-5810.182163594285,-5683.313562441428,24,True,0.0016184281479361907,0.009114399379410396,0.0008088865496161711,0.030606812068410337,-0.0010539574039126892,0.07068349753840658,78.87933967551453,6.748562762553362e-12
19,baseline,2018-10-27,2022-10-26,2023-01-24,2872.4446563156816,-5720.889312631363,-5657.455012054935,12,True,0.0006822911975237537,0.012026768058237821,0.0015692144014851097,0.025029906732633826,-0.0011484656802959897,0.0683935896104339,,
19,tvtp_logrv,2018-10-27,2022-10-26,2023-01-24,2911.5678538741695,-5787.135707748339,-5691.984256883696,18,False,0.0010871794429239603,0.010679381785365398,0.0012829558390327167,0.031944823498069826,-0.0012311138010433378,0.07345866357832911,78.24639511697569,8.223220744300186e-15
19,tvtp_exflow,2018-10-27,2022-10-26,2023-01-24,2874.3775435780008,-5712.7550871560015,-5617.603636291358,18,True,0.0005832397045264373,0.012224280434879182,0.0016299300664275374,0.025444058265695464,-0.0012515399759429875,0.06867565316637439,3.8657745246382547,0.6948349262684328
19,tvtp_both,2018-10-27,2022-10-26,2023-01-24,2913.4873917184564,-5778.974783436913,-5652.106182284056,24,False,0.001080747119853248,0.010705906826661189,0.0013443639770942652,0.032168313585091715,-0.0014782411924989258,0.0739864354023473,82.08547080554945,1.6489697905031451e-12
20,baseline,2019-01-26,2023-01-25,2023-04-25,2914.3138720367724,-5804.627744073545,-5741.193443497116,12,True,0.0012536625354353224,0.01552206116552989,0.002371978214041944,0.032931441450970066,-0.0029978105804502595,0.07758434305392428,,
20,tvtp_logrv,2019-01-26,2023-01-25,2023-04-25,2950.7272995697804,-5865.454599139561,-5770.3031482749175,18,True,0.0013427420364012707,0.010445357491556177,0.0014569242106098389,0.03069929318803172,0.0005222294427198698,0.07417070839915707,72.82685506601592,1.0744457809281849e-13
20,tvtp_exflow,2019-01-26,2023-01-25,2023-04-25,2917.387476770269,-5798.774953540538,-5703.623502675895,18,True,0.0010561996171166957,0.014081304844269327,0.002270134955285273,0.030841022555512042,-0.0022254209007879226,0.07595329620151602,6.147209466993445,0.40690340497243627
20,tvtp_both,2019-01-26,2023-01-25,2023-04-25,2955.3710708668864,-5862.742141733773,-5735.873540580916,24,True,0.0013737599850580325,0.010368256926567301,0.0009280322943518117,0.027776935857638598,0.001942029631838542,0.06891054038087607,82.11439766022795,1.6280824692142013e-12
21,baseline,2019-04-27,2023-04-26,2023-07-25,2889.692751670925,-5755.38550334185,-5691.951202765422,12,False,0.0006049103156724495,0.017905720032595475,0.00314842574269073,0.034563428775142666,-0.004755206042952909,0.07878321197872992,,
21,tvtp_logrv,2019-04-27,2023-04-26,2023-07-25,2924.4641833753176,-5812.928366750635,-5717.776915885992,18,True,0.000837918198798771,0.010362529515299902,0.001594950578126302,0.030570176886847406,0.0002527416605648177,0.0737024374582358,69.5428634087848,5.073889439565018e-13
21,tvtp_exflow,2019-04-27,2023-04-26,2023-07-25,2908.4497058231946,-5780.899411646389,-5685.747960781746,18,True,0.0005373981749756437,0.010948409010170178,0.0030657424380198446,0.03707373283479234,-0.008361972913545365,0.0800354913614224,37.513908304538745,1.3979109072499076e-06
21,tvtp_both,2019-04-27,2023-04-26,2023-07-25,2928.030960269036,-5808.061920538072,-5681.193319385215,24,True,0.0006964910400296978,0.009489336798322364,0.0014255557042752074,0.028821499345598318,0.0009602708876742281,0.0715090094442549,76.67641719622134,1.7691581853409573e-11
22,baseline,2019-07-27,2023-07-26,2023-10-24,2990.2714519619485,-5956.542903923897,-5893.1086033474685,12,True,0.0002405128369960737,0.012182939861926896,0.0021775015844939564,0.040348154779027,-0.024576199012186748,0.11769828375300596,,
22,tvtp_logrv,2019-07-27,2023-07-26,2023-10-24,3015.5673517389723,-5995.134703477945,-5899.983252613301,18,True,0.000456932291124893,0.009075072252558582,0.0011242037749971887,0.02961309761172854,-0.00035987504262030025,0.07517799522025612,50.59179955404761,3.5768769878328408e-09
22,tvtp_exflow,2019-07-27,2023-07-26,2023-10-24,2993.554352799435,-5951.10870559887,-5855.957254734227,18,True,0.0002644255548001912,0.010942863669372072,0.002598353776396824,0.03777577540066389,-0.016253212180234768,0.08970200881417732,6.565801674973045,0.3628720322402733
22,tvtp_both,2019-07-27,2023-07-26,2023-10-24,3017.029042235359,-5986.058084470718,-5859.189483317861,24,False,0.000429009401147624,0.009251899911579133,0.0011246683039728004,0.029865894823268475,-0.0002930064006172968,0.07579825995721257,53.515180546821284,3.3349435835978215e-07
23,baseline,2019-10-26,2023-10-25,2024-01-23,3043.0710453440524,-6062.142090688105,-5998.707790111676,12,True,0.0002217959168766379,0.01083999398672981,0.002619370217231611,0.038839531534068834,-0.024560716334792374,0.1100657037216267,,
23,tvtp_logrv,2019-10-26,2023-10-25,2024-01-23,3072.677386012177,-6109.354772024354,-6014.203321159711,18,True,0.0004012169317221852,0.010396898860276609,0.0022850834143316183,0.03820634577109466,-0.01891420029673836,0.11303386065206895,59.21268133624926,6.504079044940348e-11
23,tvtp_exflow,2019-10-26,2023-10-25,2024-01-23,3046.697052187742,-6057.394104375484,-5962.242653510841,18,True,0.0001852582784999257,0.0103242572983919,0.0030572362298365904,0.037932691729385556,-0.019824481917871156,0.09175793382344677,7.252013687379076,0.29816872112714987
23,tvtp_both,2019-10-26,2023-10-25,2024-01-23,3076.8271828841052,-6105.6543657682105,-5978.785764615353,24,True,0.00034948656018561234,0.010180045733602984,0.002154507932454174,0.038279865973809044,-0.01950237412470143,0.12052515434549135,67.51227508010561,9.325480010540256e-10
24,baseline,2020-01-25,2024-01-24,2024-04-23,3055.202457829747,-6086.404915659494,-6022.970615083065,12,False,0.0006874475657089173,0.010849148231753834,0.002597366138545329,0.038560864324304577,-0.02324630727531028,0.10683003219649845,,
24,tvtp_logrv,2020-01-25,2024-01-24,2024-04-23,3088.0697988169877,-6140.139597633975,-6044.988146769332,18,True,0.0009201794888195454,0.01105837771347277,0.002022311916104287,0.03954809945207225,-0.021814179489069833,0.12616943501568695,65.73468197448165,3.053555730777762e-12
24,tvtp_exflow,2020-01-25,2024-01-24,2024-04-23,3059.1178218460495,-6082.235643692099,-5987.084192827456,18,True,0.000596304402858129,0.010469018799444696,0.0030766298690668124,0.03777481879027512,-0.019381894244038165,0.09072706054423357,7.830728032605293,0.2507688116558404
24,tvtp_both,2020-01-25,2024-01-24,2024-04-23,3090.7608948956413,-6133.521789791283,-6006.6531886384255,24,True,0.0008007351432060896,0.010625139582479527,0.002129396756854722,0.038627031172947225,-0.019996438322219395,0.12091658837852104,71.11687413178879,1.9785578766030166e-10
25,baseline,2020-04-25,2024-04-24,2024-07-23,3110.909053487393,-6197.818106974786,-6134.383806398358,12,True,-0.00024858287833256907,0.008713282553584055,0.002999592123831496,0.022638991828981353,-6.398027766285113e-05,0.05348558964211191,,
25,tvtp_logrv,2020-04-25,2024-04-24,2024-07-23,3136.6000963390356,-6237.200192678071,-6142.048741813428,18,True,-0.0003929214704439934,0.008163642245606036,0.002897345506080799,0.02175899687392489,0.0004328362411405982,0.05173677234382575,51.382085703285156,2.4821734658863442e-09
25,tvtp_exflow,2020-04-25,2024-04-24,2024-07-23,3115.793978377944,-6195.587956755888,-6100.436505891244,18,True,0.0005826190823316871,0.010170375514391409,0.0035008374243821142,0.03514204315601384,-0.0010432363830629357,0.04881748019445159,9.769849781101584,0.134684753369756
