window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,nu0,mu1,sigma1,nu1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
6,tvtp_both,2015-08-01,2019-07-31,2019-10-29,3017.0505781050865,-6010.101156210173,-5946.6668556337445,12,True,0.003232164917089578,0.052626904954905095,5.6614816727661825,0.0022234514229177676,0.0613933410866755,2.0500003280902233,2.256457112619943,2.41654167955264,1.6521666393965746,-0.9964910629274879,16.047670539116552,0.0029558594343797448,0.6028218700456913,-0.3905110590923017
7,baseline,2015-10-31,2019-10-30,2020-01-28,2969.479750626875,-5922.95950125375,-5880.6699675361315,8,True,0.003500035242221151,0.052054312631072706,5.036284668039659,0.0018090280417668795,0.06261733871239897,2.050000283957134,4.0247193855372805,3.8504686357611355,,,,,,
7,tvtp_logrv,2015-10-31,2019-10-30,2020-01-28,2972.7268320764724,-5925.453664152945,-5872.591747005921,10,True,0.003366464089192264,0.05172234966360566,5.147407511446081,0.0018461436433523924,0.05972508843827853,2.0497756719486837,2.5587826387614725,2.470025674602599,1.6857091205054142,-0.6499859589488144,6.4941628991946345,0.038887537610494086,,
7,tvtp_exflow,2015-10-31,2019-10-30,2020-01-28,2972.134083219479,-5924.268166438958,-5871.406249291935,10,True,0.0030582476378941442,0.05219729114468389,5.444505451509912,0.001983169380584799,0.06435065685975902,2.0500002839327767,4.090624539336293,3.9921609231823925,0.5833098806926655,-0.6844660272854087,5.308665185208156,0.07034577229026047,,
7,tvtp_both,2015-10-31,2019-10-30,2020-01-28,2975.3070257462687,-5926.614051492537,-5863.179750916109,12,True,0.0030088165500490637,0.05179155818936547,5.375032132648888,0.0019555048056977852,0.06036893202562591,2.0485981524264916,2.445599425542503,2.274264992891872,1.6185368943089666,-0.7858235287102895,11.654550238787124,0.020113792945843312,0.572180785321686,-0.32788223114363385
8,baseline,2016-01-30,2020-01-29,2020-04-28,2991.7395748510557,-5967.4791497021115,-5925.189615984493,8,True,0.003504734402789824,0.05129563403361829,5.058868261772066,0.001603906975156256,0.06330802067257311,2.050000262321707,3.9391259145142046,3.7539631587536744,,,,,,
8,tvtp_logrv,2016-01-30,2020-01-29,2020-04-28,2994.619813693428,-5969.239627386856,-5916.377710239833,10,True,0.003430784674083993,0.05102565626926388,5.11892024751854,0.001624412023592353,0.060107577327315274,2.0500002255784553,2.6176198941340068,2.624832839235549,1.456902111507807,-0.46449414791264776,5.760477684744728,0.05612135707520168,,
8,tvtp_exflow,2016-01-30,2020-01-29,2020-04-28,2994.0699816114834,-5968.139963222967,-5915.278046075943,10,True,0.0032045150127612307,0.05124402995349275,5.265860691539127,0.0017358289905230197,0.06414888601689193,2.050000253739549,4.013059564489202,3.912711479113876,0.5305397429090942,-0.6832128092347183,4.660813520855299,0.0972561790777344,,
8,tvtp_both,2016-01-30,2020-01-29,2020-04-28,2997.0828869002385,-5970.165773800477,-5906.731473224048,12,True,0.0031144893622032485,0.05086478886882592,5.224445030682974,0.0017292627028918555,0.05853376214258658,2.0500002343472383,2.3943972754428478,2.2381501352111495,1.5611417884530163,-0.5856955361702713,10.686624098365428,0.030321112955507108,0.561005081736137,-0.2718019459240332
9,baseline,2016-04-30,2020-04-29,2020-07-28,2899.3969345540204,-5782.793869108041,-5740.504335390422,8,True,0.0032371804194459906,0.05247370464674245,4.345108445775233,0.0014249409532120577,0.06383838867335793,2.0500003124706856,3.8696090331028725,3.5111664498812027,,,,,,
9,tvtp_logrv,2016-04-30,2020-04-29,2020-07-28,2905.387056189218,-5790.774112378436,-5737.912195231413,10,True,0.0014408321617802734,0.038850013938530846,2.1022311191097085,0.003268323326769505,0.051918708508985605,5.818089773969133,0.5010319615855339,0.9943538911666675,-1.0810855236908352,1.6147811121183107,11.980243270395476,0.0025033595350505396,,
9,tvtp_exflow,2016-04-30,2020-04-29,2020-07-28,2901.1745807653215,-5782.349161530643,-5729.487244383619,10,True,0.002952902642491571,0.05211023307188237,4.898676759468314,0.00158928246976746,0.06704970838134783,2.0500001858560064,3.887940527714442,3.734604337142913,0.48780165382276425,-0.6710392639217985,3.5552924226021787,0.16903555335533973,,
9,tvtp_both,2016-04-30,2020-04-29,2020-07-28,2908.134459599933,-5792.268919199866,-5728.834618623438,12,True,0.0015550780147895037,0.026589788847307394,2.230258091301488,0.0031275796677548064,0.05240166758108335,5.61063830063019,0.20180493046176823,0.8205134650073511,-1.2371526051639925,1.6111180769967264,17.475050091825324,0.001562390806540207,-0.4636489433627652,0.22863438503113415
10,baseline,2016-07-30,2020-07-29,2020-10-27,2898.1121781250454,-5780.224356250091,-5737.934822532472,8,True,0.0033230653708891987,0.052287035029074294,4.141098442037685,0.0012608463773200235,0.0651593899119306,2.0500002864723785,4.00019591521934,3.6539301700455598,,,,,,
10,tvtp_logrv,2016-07-30,2020-07-29,2020-10-27,2900.840148858363,-5781.680297716726,-5728.818380569703,10,True,0.0031292882466754887,0.05149639882613397,5.399887073206214,0.0013443863021722758,0.06074910829165309,2.050000018682757,1.9776867449831534,1.5729898146831347,1.0141367227139235,-0.9619993022883448,5.455941466635522,0.06535177137458434,,
10,tvtp_exflow,2016-07-30,2020-07-29,2020-10-27,2900.0685438469773,-5780.1370876939545,-5727.275170546931,10,True,0.00307918716172174,0.051912242912913076,4.447930119236709,0.0014247243242229422,0.06738336467485459,2.050000309303309,4.09969497066461,3.856450211690322,0.557973341592204,-0.6466579599342221,3.912731443863777,0.1413712709462307,,
10,tvtp_both,2016-07-30,2020-07-29,2020-10-27,2902.9187043097018,-5781.8374086194035,-5718.403108042975,12,True,0.0014419421456426792,0.05062426525768786,2.0691863571781033,0.0029825325038285518,0.05184512133807087,5.8624539336577985,1.0265179998326128,1.4040575942865046,-1.0091019665500345,1.234038622328352,9.613052369312754,0.047475395319469066,-0.2933286776486387,0.3058501642316077
11,baseline,2016-10-29,2020-10-28,2021-01-26,2858.270016754883,-5700.540033509766,-5658.250499792147,8,True,0.0033265463510020626,0.05412845062160091,4.884304312832651,0.002196273960814739,0.058011877129583826,2.111425621084206,4.128211092981558,4.247256179454212,,,,,,
