window,spec,train_start,test_start,test_end,loglik,aic,bic,n_params,converged,mu0,sigma0,mu1,sigma1,beta1_0,beta2_0,beta1_1,beta2_1,lr_stat,lr_p,beta1_2,beta2_2
13,tvtp_logrv,2017-04-29,2021-04-28,2021-07-27,2742.7466441496817,-5469.4932882993635,-5427.203754581745,8,True,0.0024268096159342466,0.01656201599978711,0.002660957844422411,0.05983407488877757,0.36761438564705123,-0.14330849490313327,-0.7750640622959334,1.6251812111696555,74.17088605031313,7.834237534386883e-17,,
13,tvtp_exflow,2017-04-29,2021-04-28,2021-07-27,2707.513872421059,-5399.027744842118,-5356.7382111245,8,True,0.002560927260349786,0.020760723098161165,0.002512704047798732,0.06258125933277744,1.9635590759416393,1.588262533408425,-0.4856206692360246,-0.15679895741865443,3.7053425930680532,0.15681769972549203,,
13,tvtp_both,2017-04-29,2021-04-28,2021-07-27,2744.1486049449727,-5468.297209889945,-5415.435292742922,10,True,0.002428653759251317,0.016427785674458233,0.0026570273462564065,0.05963051094824046,0.3228526904618847,-0.09290181562399791,-0.7915176133343671,1.5727192880753766,76.97480764089505,7.613624943034062e-16,-0.30519839218702866,-0.0036124202276205768
14,baseline,2017-07-29,2021-07-28,2021-10-26,2714.399325084247,-5416.798650168494,-5385.081499880279,6,True,0.0021672579534164206,0.018991321386708233,0.0013630275337118102,0.06026548463868837,1.6178962663681777,1.3833863561214024,,,,,,
14,tvtp_logrv,2017-07-29,2021-07-28,2021-10-26,2754.366207680843,-5492.732415361686,-5450.442881644068,8,True,0.0019170917947745638,0.015555638244944122,0.0016981557771158773,0.05855561480156122,0.1319509504784807,-0.058871664308201656,-0.9112660273575355,1.301864249198915,79.93376519319281,4.39140436700054e-18,,
14,tvtp_exflow,2017-07-29,2021-07-28,2021-10-26,2715.656688148407,-5415.313376296814,-5373.023842579195,8,True,0.002156901201503276,0.01959308685584567,0.001363575104817292,0.06070873002748342,1.7234168571368638,1.4554800809581772,-0.41328207714736426,-0.05836816259501086,2.514726128320035,0.28440299102010685,,
14,tvtp_both,2017-07-29,2021-07-28,2021-10-26,2755.326984732578,-5490.653969465156,-5437.792052318132,10,True,0.0019561346886553324,0.015257456075347694,0.0016634735078972583,0.05820383638959981,0.05613993621234191,-8.178652066712007e-05,-0.9401303067242872,1.2238088909813336,81.85531929666195,7.044397897732969e-17,-0.22322975703756284,0.05799988298239285
15,baseline,2017-10-28,2021-10-27,2022-01-25,2729.3424136751128,-5446.6848273502255,-5414.967677062011,6,True,0.002117125833711929,0.01938925054354095,0.0009162884134347619,0.06093907970753561,1.5334390511269624,1.1460912433677297,,,,,,
15,tvtp_logrv,2017-10-28,2021-10-27,2022-01-25,2769.001081454867,-5522.002162909734,-5479.712629192115,8,True,0.0018420787598064199,0.015642765996193072,0.0013711268761502787,0.05791689489217864,0.16419358561630815,-0.065205782431917,-0.8833006516366514,1.3007962021203043,79.31733555950814,5.976672016920231e-18,,
15,tvtp_exflow,2017-10-28,2021-10-27,2022-01-25,2730.958273845767,-5445.916547691534,-5403.627013973915,8,True,0.0021440960275674196,0.01962967756967997,0.0008562541576424031,0.061308031994013676,1.5253041328806018,1.0998297048877463,-0.3759168511200949,0.06454820832754832,3.2317203413085736,0.19871966408056527,,
